               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10057,            0.035311,            0.037386,           0.0040283,              0.3377,           0.0081148,           0.0020883,            0.076263,              0.0302,            0.035838,            0.070638,           0.0032624,           0.0032624
                   1,            0.077723,            0.034546,              0.0317,             0.76197,              0.1092,            0.081235,            0.020541,             0.07276,            0.022648,            0.034725,            0.040508,           0.0064651,           0.0064651
                   2,            0.070503,            0.029466,            0.031366,               0.772,             0.11152,             0.12242,            0.045484,            0.064828,            0.021063,            0.033633,            0.010245,           0.0095359,           0.0095359
                   3,            0.065691,            0.027235,            0.030307,              0.7971,             0.16996,             0.17684,            0.070457,            0.063155,            0.018675,            0.033367,            0.009406,            0.009406,            0.009406
                   4,            0.062311,            0.023462,            0.031116,              0.1037,             0.43067,              0.1734,            0.064158,            0.058271,             0.01673,            0.031669,            0.009406,            0.009406,            0.009406
                   5,            0.055739,            0.022324,            0.029079,             0.20657,             0.36249,             0.31142,             0.12398,            0.049915,            0.015951,            0.030828,            0.009208,            0.009208,            0.009208
                   6,            0.050655,            0.020103,            0.027857,             0.64847,             0.32512,             0.35627,             0.14101,            0.049491,              0.0153,            0.030128,             0.00901,             0.00901,             0.00901
                   7,            0.047665,             0.01929,            0.025374,             0.31443,             0.55055,             0.38243,             0.16488,            0.046426,            0.014728,            0.028921,            0.008812,            0.008812,            0.008812
                   8,            0.047141,            0.018387,            0.024699,             0.37172,             0.58653,             0.43749,             0.21701,            0.043599,             0.01454,            0.027083,            0.008614,            0.008614,            0.008614
                   9,            0.045621,             0.01919,            0.022885,             0.37536,             0.57339,              0.4205,             0.22703,            0.042221,            0.014717,            0.026061,            0.008416,            0.008416,            0.008416
                  10,            0.044938,            0.018636,             0.02199,             0.41674,             0.60371,             0.47156,             0.24358,            0.041004,            0.014413,            0.024305,            0.008218,            0.008218,            0.008218
                  11,            0.041952,             0.01667,            0.020897,             0.48664,             0.57397,             0.53267,             0.25628,             0.04304,            0.013914,            0.024481,             0.00802,             0.00802,             0.00802
                  12,            0.041313,            0.017502,            0.019304,             0.46194,             0.58803,             0.50944,             0.24749,            0.041182,            0.014267,             0.02408,            0.007822,            0.007822,            0.007822
                  13,            0.041369,            0.016579,            0.020301,             0.56309,             0.54884,             0.55734,             0.26263,            0.042136,            0.014615,            0.022152,            0.007624,            0.007624,            0.007624
                  14,            0.041407,             0.01643,            0.017329,             0.48384,             0.64016,              0.5845,             0.31689,             0.03752,            0.013863,             0.02308,            0.007426,            0.007426,            0.007426
                  15,            0.038458,             0.01717,            0.016527,              0.4606,             0.67495,             0.57044,             0.29079,            0.038911,            0.013877,            0.020823,            0.007228,            0.007228,            0.007228
                  16,             0.03774,            0.016179,            0.015304,             0.54167,             0.62167,             0.60715,             0.33516,            0.038814,            0.014155,            0.019951,             0.00703,             0.00703,             0.00703
                  17,            0.038535,            0.016728,            0.014539,             0.50157,             0.59319,             0.54732,             0.29017,            0.038834,            0.014266,            0.025433,            0.006832,            0.006832,            0.006832
                  18,            0.037983,             0.01448,            0.014399,             0.53098,             0.71552,             0.57512,             0.29923,            0.039419,            0.014364,            0.019534,            0.006634,            0.006634,            0.006634
                  19,            0.036304,            0.015861,            0.015552,             0.52758,             0.72232,             0.59617,             0.29623,            0.037572,            0.014103,            0.019158,            0.006436,            0.006436,            0.006436
                  20,            0.036003,            0.016431,            0.013504,             0.59031,             0.68312,             0.61339,             0.30835,            0.037238,            0.013832,            0.019974,            0.006238,            0.006238,            0.006238
                  21,            0.035001,            0.016343,            0.011531,             0.52864,             0.67946,             0.63052,             0.31933,            0.036628,            0.013859,            0.018838,             0.00604,             0.00604,             0.00604
                  22,            0.035932,            0.015894,            0.012314,             0.62701,             0.63263,             0.63619,             0.34257,            0.036428,            0.014326,            0.019706,            0.005842,            0.005842,            0.005842
                  23,              0.0354,            0.015521,           0.0095307,             0.56826,             0.62191,             0.60523,             0.29576,            0.038554,            0.014477,             0.02263,            0.005644,            0.005644,            0.005644
